LLM,Benchmark prompt,Execution time (s),CPU Energy (J),RAM Energy (J),GPU Energy (J),CPU Power (W),RAM Power (W),GPU Power (W),CO2 emissions (Kg),CO2 emissions rate (Kg/s),HumanEval pass@1
llama-2-7b.Q2_K,HumanEval/113,46.19844460487366,1039.449457526207,248.68367710257826,-354.2492833992,22.5,5.794223785400391,21.660287430635154,5.682501646205398e-05,1.23002012184755e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/114,30.39308214187622,683.8307493925095,166.39843540633774,113.47309077840006,22.5,5.794223785400391,3.4325890781805897,5.863940960333966e-05,1.9293669963976792e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/115,54.658968687057495,1229.809522032738,297.4052516142483,-118.90709512560004,22.5,5.794223785400391,28.643164590394964,8.569278386198477e-05,1.5677716927409877e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/116,71.56510949134827,1610.1899009943006,385.8403978009128,-331.7932654344,22.5,5.794223785400391,32.15357758178228,0.00010126558746355176,1.4150133798900158e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/117,24.225992679595947,545.0774645805359,130.6317192146771,3.2810026247999926,22.5,5.794223785400391,28.080285117772043,4.131523258496197e-05,1.705409273889496e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/118,62.49464130401611,1406.1040288209913,343.0128444475759,2.8410022728000235,22.5,5.794223785400391,3.516710083296396,0.00010660323014193419,1.705797935911723e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/119,71.6068024635315,1611.1314743757248,386.155704230645,-353.5522828416,22.5,5.794223785400391,31.660658211862987,0.00010001807225610002,1.3967677485255405e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/120,30.968077898025513,696.7692589759827,169.7510833979195,115.17009213600001,22.5,5.794223785400391,3.5550356856260086,5.9733954097415994e-05,1.928888008294004e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/121,44.63923931121826,1004.36543405056,239.52859950902078,-346.47527718000003,22.5,5.794223785400391,25.05832434922097,5.460618634478232e-05,1.223277707849723e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/122,32.918824911117554,740.6609272956848,181.14814894668322,125.220100176,22.5,5.794223785400391,3.914579301079187,6.370968949499244e-05,1.9353573424024624e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/123,65.01019835472107,1462.7074956893919,357.32036670185425,-19.142015313599995,22.5,5.794223785400391,4.060185166114142,0.00010958040207219436,1.6855878746020868e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/124,42.85807728767395,964.2942237854003,229.2073621011559,-375.68130054479997,22.5,5.794223785400391,28.186802082631033,4.976277415693548e-05,1.1611060809591505e-06,0.042682926829268296
